font_label,font_file,position,status,store_id,font_image
Abel Regular,productdesigner/fonts/Abel-Regular.ttf,0,1,0,
AbrilFatface Regular,productdesigner/fonts/AbrilFatface-Regular.ttf,0,1,0,
Aclonica Regular,productdesigner/fonts/Aclonica-Regular.ttf,0,1,0,
Acme Regular,productdesigner/fonts/Acme-Regular.ttf,0,1,0,
Adamina Regular,productdesigner/fonts/Adamina-Regular.ttf,0,1,0,
AdventPro Regular,productdesigner/fonts/AdventPro-Regular.ttf,0,1,0,
Akronim Regular,productdesigner/fonts/Akronim-Regular.ttf,0,1,0,
Aladin Regular,productdesigner/fonts/Aladin-Regular.ttf,0,1,0,
Aldrich Regular,productdesigner/fonts/Aldrich-Regular.ttf,0,1,0,
Alef Regular,productdesigner/fonts/Alef-Regular.ttf,0,1,0,
Alegreya Regular,productdesigner/fonts/Alegreya-Regular.ttf,0,1,0,
AlegreyaSans Regular,productdesigner/fonts/AlegreyaSans-Regular.ttf,0,1,0,
AlegreyaSansSC Regular,productdesigner/fonts/AlegreyaSansSC-Regular.ttf,0,1,0,
AlegreyaSC Regular,productdesigner/fonts/AlegreyaSC-Regular.ttf,0,1,0,
Aleo Regular,productdesigner/fonts/Aleo-Regular.ttf,0,1,0,
AlexBrush Regular,productdesigner/fonts/AlexBrush-Regular.ttf,0,1,0,
Alice Regular,productdesigner/fonts/Alice-Regular.ttf,0,1,0,
Alike Regular,productdesigner/fonts/Alike-Regular.ttf,0,1,0,
Allan Regular,productdesigner/fonts/Allan-Regular.ttf,0,1,0,
Allerta Regular,productdesigner/fonts/Allerta-Regular.ttf,0,1,0,
AllertaStencil Regular,productdesigner/fonts/AllertaStencil-Regular.ttf,0,1,0,
Allura Regular,productdesigner/fonts/Allura-Regular.ttf,0,1,0,
Almendra Regular,productdesigner/fonts/Almendra-Regular.ttf,0,1,0,
AlmendraDisplay Regular,productdesigner/fonts/AlmendraDisplay-Regular.ttf,0,1,0,
AlmendraSC Regular,productdesigner/fonts/AlmendraSC-Regular.ttf,0,1,0,
AmaticSC Regular,productdesigner/fonts/AmaticSC-Regular.ttf,0,1,0,
Amiko Regular,productdesigner/fonts/Amiko-Regular.ttf,0,1,0,
Amita Regular,productdesigner/fonts/Amita-Regular.ttf,0,1,0,
Anaheim Regular,productdesigner/fonts/Anaheim-Regular.ttf,0,1,0,
Andada Regular,productdesigner/fonts/Andada-Regular.ttf,0,1,0,
Andika Regular,productdesigner/fonts/Andika-Regular.ttf,0,1,0,
Angkor Regular,productdesigner/fonts/Angkor-Regular.ttf,0,1,0,
AnnieUseYourTelescope Regular,productdesigner/fonts/AnnieUseYourTelescope-Regular.ttf,0,1,0,
AnonymousPro Regular,productdesigner/fonts/AnonymousPro-Regular.ttf,0,1,0,
Antic Regular,productdesigner/fonts/Antic-Regular.ttf,0,1,0,
AnticDidone Regular,productdesigner/fonts/AnticDidone-Regular.ttf,0,1,0,
Anton Regular,productdesigner/fonts/Anton-Regular.ttf,0,1,0,
Arbutus Regular,productdesigner/fonts/Arbutus-Regular.ttf,0,1,0,
ArbutusSlab Regular,productdesigner/fonts/ArbutusSlab-Regular.ttf,0,1,0,
ArchitectsDaughter Regular,productdesigner/fonts/ArchitectsDaughter-Regular.ttf,0,1,0,
Archivo Regular,productdesigner/fonts/Archivo-Regular.ttf,0,1,0,
ArchivoBlack Regular,productdesigner/fonts/ArchivoBlack-Regular.ttf,0,1,0,
ArchivoNarrow Regular,productdesigner/fonts/ArchivoNarrow-Regular.ttf,0,1,0,
ArefRuqaa Regular,productdesigner/fonts/ArefRuqaa-Regular.ttf,0,1,0,
ArimaMadurai Regular,productdesigner/fonts/ArimaMadurai-Regular.ttf,0,1,0,
Arizonia Regular,productdesigner/fonts/Arizonia-Regular.ttf,0,1,0,
Armata Regular,productdesigner/fonts/Armata-Regular.ttf,0,1,0,
Arsenal Regular,productdesigner/fonts/Arsenal-Regular.ttf,0,1,0,
Artifika Regular,productdesigner/fonts/Artifika-Regular.ttf,0,1,0,
Arvo Regular,productdesigner/fonts/Arvo-Regular.ttf,0,1,0,
Arya Regular,productdesigner/fonts/Arya-Regular.ttf,0,1,0,
Asap Regular,productdesigner/fonts/Asap-Regular.ttf,0,1,0,
Asar Regular,productdesigner/fonts/Asar-Regular.ttf,0,1,0,
Asset Regular,productdesigner/fonts/Asset-Regular.ttf,0,1,0,
Assistant Regular,productdesigner/fonts/Assistant-Regular.ttf,0,1,0,
Astloch Regular,productdesigner/fonts/Astloch-Regular.ttf,0,1,0,
Asul Regular,productdesigner/fonts/Asul-Regular.ttf,0,1,0,
Athiti Regular,productdesigner/fonts/Athiti-Regular.ttf,0,1,0,
Atma Regular,productdesigner/fonts/Atma-Regular.ttf,0,1,0,
AtomicAge Regular,productdesigner/fonts/AtomicAge-Regular.ttf,0,1,0,
Aubrey Regular,productdesigner/fonts/Aubrey-Regular.ttf,0,1,0,
AutourOne Regular,productdesigner/fonts/AutourOne-Regular.ttf,0,1,0,
Average Regular,productdesigner/fonts/Average-Regular.ttf,0,1,0,
AverageSans Regular,productdesigner/fonts/AverageSans-Regular.ttf,0,1,0,
AveriaGruesaLibre Regular,productdesigner/fonts/AveriaGruesaLibre-Regular.ttf,0,1,0,
Bahiana Regular,productdesigner/fonts/Bahiana-Regular.ttf,0,1,0,
BaiJamjuree Regular,productdesigner/fonts/BaiJamjuree-Regular.ttf,0,1,0,
