Manage Printing Methods,Administrar métodos de impresión
Manage Color Counter,Administrar contador de color
Manage Area Size,Administrar tamaño del área
Minimum Printing Quantity,Cantidad mínima de impresión
Printing Method Execution,Ejecución del método de impresión
Edit Area Size,Editar tamaño del área
Edit Color Counter,Editar contador de color
Edit Printing Method,Editar método de impresión
Edit Area Size,Editar tamaño del área
Save Area Size,Guardar tamaño del área
Save Printing Method,Guardar método de impresión
Save Color Counter,Guardar contador de color
Color Count,Cuenta de color
AREA SIZE INFORMATION,INFORMACIÓN DEL TAMAÑO DEL ÁREA
Area Size Title,Título del tamaño del área
Area Size Start,Área Tamaño Inicio
Area Size End,Área Tamaño Final
Area Size Price,Área Tamaño Precio
Delete Area Size,Eliminar tamaño del área
Delete Printing Method,Eliminar método de impresión
Delete Color Counter,Eliminar contador de color
PRINTING METHOD INFORMATION,INFORMACIÓN DEL MÉTODO DE IMPRESIÓN
COLOR COUNTER INFORMATION,INFORMACIÓN DEL CONTADOR DE COLOR
Print By Color,Imprimir por color
By Area Size,Por tamaño del área
Printing Method,Método de impresión
