font_label,font_file,position,status,store_id,font_image
ABeeZee Regular,productdesigner/fonts/ABeeZee-Regular.ttf,0,1,0,
AbhayaLibre Regular,productdesigner/fonts/AbhayaLibre-Regular.ttf,0,1,0,
Actor Regular,productdesigner/fonts/Actor-Regular.ttf,0,1,0,
AguafinaScript Regular,productdesigner/fonts/AguafinaScript-Regular.ttf,0,1,0,
AlfaSlabOne Regular,productdesigner/fonts/AlfaSlabOne-Regular.ttf,0,1,0,
AlikeAngular Regular,productdesigner/fonts/AlikeAngular-Regular.ttf,0,1,0,
Amarante Regular,productdesigner/fonts/Amarante-Regular.ttf,0,1,0,
Amaranth Regular,productdesigner/fonts/Amaranth-Regular.ttf,0,1,0,
Amethysta Regular,productdesigner/fonts/Amethysta-Regular.ttf,0,1,0,
Amiri Regular,productdesigner/fonts/Amiri-Regular.ttf,0,1,0,
AnticSlab Regular,productdesigner/fonts/AnticSlab-Regular.ttf,0,1,0,
Arapey Regular,productdesigner/fonts/Arapey-Regular.ttf,0,1,0,
Arimo Regular,productdesigner/fonts/Arimo-Regular.ttf,0,1,0,
AsapCondensed Regular,productdesigner/fonts/AsapCondensed-Regular.ttf,0,1,0,
Audiowide Regular,productdesigner/fonts/Audiowide-Regular.ttf,0,1,0,
AveriaLibre Regular,productdesigner/fonts/AveriaLibre-Regular.ttf,0,1,0,
AveriaSansLibre Regular,productdesigner/fonts/AveriaSansLibre-Regular.ttf,0,1,0,
AveriaSerifLibre Regular,productdesigner/fonts/AveriaSerifLibre-Regular.ttf,0,1,0,
BadScript Regular,productdesigner/fonts/BadScript-Regular.ttf,0,1,0,
BalooBhaina Regular,productdesigner/fonts/BalooBhaina-Regular.ttf,0,1,0,
BalooPaaji Regular,productdesigner/fonts/BalooPaaji-Regular.ttf,0,1,0,
Bangers Regular,productdesigner/fonts/Bangers-Regular.ttf,0,1,0,
Bevan Regular,productdesigner/fonts/Bevan-Regular.ttf,0,1,0,
Bilbo Regular,productdesigner/fonts/Bilbo-Regular.ttf,0,1,0,
BilboSwashCaps Regular,productdesigner/fonts/BilboSwashCaps-Regular.ttf,0,1,0,
BlackOpsOne Regular,productdesigner/fonts/BlackOpsOne-Regular.ttf,0,1,0,
Boogaloo Regular,productdesigner/fonts/Boogaloo-Regular.ttf,0,1,0,
Buda Light,productdesigner/fonts/Buda-Light.ttf,0,1,0,
Bungee Regular,productdesigner/fonts/Bungee-Regular.ttf,0,1,0,
BungeeInline Regular,productdesigner/fonts/BungeeInline-Regular.ttf,0,1,0,
Cairo Regular,productdesigner/fonts/Cairo-Regular.ttf,0,1,0,
Calligraffitti Regular,productdesigner/fonts/Calligraffitti-Regular.ttf,0,1,0,
CantataOne Regular,productdesigner/fonts/CantataOne-Regular.ttf,0,1,0,
Cardo Regular,productdesigner/fonts/Cardo-Regular.ttf,0,1,0,
ChangaOne Regular,productdesigner/fonts/ChangaOne-Regular.ttf,0,1,0,
CherryCreamSoda Regular,productdesigner/fonts/CherryCreamSoda-Regular.ttf,0,1,0,
CherrySwash Regular,productdesigner/fonts/CherrySwash-Regular.ttf,0,1,0,
Chivo Regular,productdesigner/fonts/Chivo-Regular.ttf,0,1,0,
Condiment Regular,productdesigner/fonts/Condiment-Regular.ttf,0,1,0,
Cookie Regular,productdesigner/fonts/Cookie-Regular.ttf,0,1,0,
Copse Regular,productdesigner/fonts/Copse-Regular.ttf,0,1,0,
CormorantGaramond Regular,productdesigner/fonts/CormorantGaramond-Regular.ttf,0,1,0,
CoveredByYourGrace,productdesigner/fonts/CoveredByYourGrace.ttf,0,1,0,
CraftyGirls Regular,productdesigner/fonts/CraftyGirls-Regular.ttf,0,1,0,
Creepster Regular,productdesigner/fonts/Creepster-Regular.ttf,0,1,0,
Damion Regular,productdesigner/fonts/Damion-Regular.ttf,0,1,0,
DeliusUnicase Regular,productdesigner/fonts/DeliusUnicase-Regular.ttf,0,1,0,
DidactGothic Regular,productdesigner/fonts/DidactGothic-Regular.ttf,0,1,0,
DonegalOne Regular,productdesigner/fonts/DonegalOne-Regular.ttf,0,1,0,
Dorsa Regular,productdesigner/fonts/Dorsa-Regular.ttf,0,1,0,
Dynalight Regular,productdesigner/fonts/Dynalight-Regular.ttf,0,1,0,
Economica Regular,productdesigner/fonts/Economica-Regular.ttf,0,1,0,
Engagement Regular,productdesigner/fonts/Engagement-Regular.ttf,0,1,0,
Enriqueta Regular,productdesigner/fonts/Enriqueta-Regular.ttf,0,1,0,
Esteban Regular,productdesigner/fonts/Esteban-Regular.ttf,0,1,0,
FasterOne Regular,productdesigner/fonts/FasterOne-Regular.ttf,0,1,0,
FiraMono Regular,productdesigner/fonts/FiraMono-Regular.ttf,0,1,0,
Flamenco Regular,productdesigner/fonts/Flamenco-Regular.ttf,0,1,0,
Fondamento Regular,productdesigner/fonts/Fondamento-Regular.ttf,0,1,0,
FredokaOne Regular,productdesigner/fonts/FredokaOne-Regular.ttf,0,1,0,
GenBkBasR,productdesigner/fonts/GenBkBasR.ttf,0,1,0,
Glegoo Regular,productdesigner/fonts/Glegoo-Regular.ttf,0,1,0,
GreatVibes Regular,productdesigner/fonts/GreatVibes-Regular.ttf,0,1,0,
Griffy Regular,productdesigner/fonts/Griffy-Regular.ttf,0,1,0,
Gurajada Regular,productdesigner/fonts/Gurajada-Regular.ttf,0,1,0,
Handlee Regular,productdesigner/fonts/Handlee-Regular.ttf,0,1,0,
HennyPenny Regular,productdesigner/fonts/HennyPenny-Regular.ttf,0,1,0,
HindSiliguri Regular,productdesigner/fonts/HindSiliguri-Regular.ttf,0,1,0,
HomemadeApple Regular,productdesigner/fonts/HomemadeApple-Regular.ttf,0,1,0,
IBMPlexSerif Regular,productdesigner/fonts/IBMPlexSerif-Regular.ttf,0,1,0,
IMFeDPsc28P,productdesigner/fonts/IMFeDPsc28P.ttf,0,1,0,
IMFeFCrm28P,productdesigner/fonts/IMFeFCrm28P.ttf,0,1,0,
IMFeFCsc28P,productdesigner/fonts/IMFeFCsc28P.ttf,0,1,0,
IMFeGPrm28P,productdesigner/fonts/IMFeGPrm28P.ttf,0,1,0,
IMFeGPsc28P,productdesigner/fonts/IMFeGPsc28P.ttf,0,1,0,
IMFePIsc28P,productdesigner/fonts/IMFePIsc28P.ttf,0,1,0,
Italiana Regular,productdesigner/fonts/Italiana-Regular.ttf,0,1,0,
Julee Regular,productdesigner/fonts/Julee-Regular.ttf,0,1,0,
Junge Regular,productdesigner/fonts/Junge-Regular.ttf,0,1,0,
