Brush Your Ideas,Brush Your Ideas
Product Designer Settings,Product Designer Settings
Product Designer Activation,Product Designer Activation
Activation Key,Activation Key
Select Websites,Select Websites
Enable Product Designer,Enable Product Designer
"Select ""Yes"" to enable product designer in your eCommerce store.","Select ""Yes"" to enable product designer in your eCommerce store."
General,General
Design Button on Category Page,Design Button on Category Page
"Select ""Enable"" to display ""Design It"" button on Category Page and ""Disable"" to hide ""Design It"" button from Category Page.","Select ""Enable"" to display ""Design It"" button on Category Page and ""Disable"" to hide ""Design It"" button from Category Page."
Enable,Enable
Disable,Disable
Add to Cart Button on Category Page,Add to Cart Button on Category Page
"Select ""Enable"" to display ""Add to Cart"" button on Category Page and ""Disable"" to hide ""Add to Cart"" button on Category Page.","Select ""Enable"" to display ""Add to Cart"" button on Category Page and ""Disable"" to hide ""Add to Cart"" button on Category Page."
Additional Price for Customized Products,Additional Price for Customized Products
Add a fixed cost which will be added for custom designed products.,Add a fixed cost which will be added for custom designed products.
Placeholder Image,Placeholder Image
Delete File,Delete File
Add image to be shown at the place of actual image before actual image loads completely.,Add image to be shown at the place of actual image before actual image loads completely.
Product Designer Tool Page Title ,Product Designer Tool Page Title 
Additional Cost per Added Text,Additional Cost per Added Text
Add price which will be charged for adding a text for Product Customization.,Add price which will be charged for adding a text for Product Customization.
Additional Cost per Added Image,Additional Cost per Added Image
Add price which will be charged for adding an image for Product Customization.,Add price which will be charged for adding an image for Product Customization.
Additional Cost per Custom Uploaded Image,Additional Cost per Custom Uploaded Image
"Add price which will be charged for uploaded image with ""Additional Cost per Added Image"".","Add price which will be charged for uploaded image with ""Additional Cost per Added Image""."
Download Image Type,Download Image Type
Select the image type in which customized image will be downloaded.,Select the image type in which customized image will be downloaded.
Guest User's Image Life Time ,Guest User's Image Life Time 
Enter number of days for which unused design images by guest users need to be kept.,Enter number of days for which unused design images by guest users need to be kept.
Enable Generate SVG,Enable Generate SVG
